Malham - stream water sample results 18-19 October 2014,,,,,,,,,,,,,,,,,,,,
Andy's Group,Near Bridge Automatic Sampler,5,16/10/2014,01:39,"88732, 67168",x,,x,x,399,0.399,x,7.79,x,0.05,,x,GMT rather than BST.,435,19.8
Andy's Group,Near Bridge Automatic Sampler,6,16/10/2014,02:39,"88732, 67168",x,,x,x,392,0.392,x,8.15,x,0.09,,x,GMT rather than BST.,428,19.8
Grylls,Near Bridge Automatic Sampler,7,16/10/2014,03:39,"88732, 67168",x,,,,419,0.419,,,x,0.04,,x,GMT rather than BST.,419,19.7
Grylls,Near Bridge Automatic Sampler,8,16/10/2014,04:39,"88732, 67168",x,,,,422,0.422,,,x,0.06,,x,GMT rather than BST.,422,19.7
Grylls,Near Bridge Automatic Sampler,9,16/10/2014,05:39,"88732, 67168",x,,,,414,0.414,,,x,0.07,,x,GMT rather than BST.,414,19.7
Grylls,Near Bridge Automatic Sampler,10,16/10/2014,06:39,"88732, 67168",x,,,,397,0.397,,,x,0.09,,x,GMT rather than BST.,397,19.7
Grylls,Near Bridge Automatic Sampler,11,16/10/2014,07:39,"88732, 67168",x,,,,389,0.389,,,x,0.08,,x,GMT rather than BST.,389,19.7
Grylls,Near Bridge Automatic Sampler,12,16/10/2014,08:39,"88732, 67168",x,,,,395,0.395,,,x,0.05,,x,GMT rather than BST.,395,19.9
Banta,Near Bridge Automatic Sampler,13,16/10/2014,09:39,"88732, 67168",x,,,,399,0.399,x,,x,0.02,,x,GMT rather than BST.,399,19.8
Banta,Near Bridge Automatic Sampler,14,16/10/2014,10:39,"88732, 67168",x,,,,404,0.404,x,,x,0.03,,x,GMT rather than BST.,404,19.7
Banta,Near Bridge Automatic Sampler,15,16/10/2014,11:39,"88732, 67168",x,,,,401,0.401,x,,x,0.05,,x,GMT rather than BST.,401,19.7
Banta,Near Bridge Automatic Sampler,16,16/10/2014,12:39,"88732, 67168",x,,,,403,0.403,x,,x,0.05,,x,GMT rather than BST.,403,19.6
Banta,Near Bridge Automatic Sampler,17,16/10/2014,13:39,"88732, 67168",x,,,,400,0.400,x,,x,0.06,,x,GMT rather than BST.,400,19.7
Banta,Near Bridge Automatic Sampler,18,16/10/2014,14:39,"88732, 67168",x,,,,399,0.399,x,,x,0.03,,x,GMT rather than BST.,399,19.7
No Name ,Near Bridge Automatic Sampler,19,16/10/2014,15:39,"88732, 67168",x,20.2,,,380,0.380,,6.47,x,0.09,,x,GMT rather than BST.,397,19.6
No Name ,Near Bridge Automatic Sampler,20,16/10/2014,16:39,"88732, 67168",x,20.4,,,385,0.385,,7.13,x,0.04,,x,GMT rather than BST.,399,19.7
No Name ,Near Bridge Automatic Sampler,21,16/10/2014,17:39,"88732, 67168",x,20.3,,,385,0.385,,7.29,x,0.08,,x,GMT rather than BST.,401,19.7
No Name ,Near Bridge Automatic Sampler,22,16/10/2014,18:39,"88732, 67168",x,20.0,,,387,0.387,,7.83,x,0.07,,x,GMT rather than BST.,400,19.7
No Name ,Near Bridge Automatic Sampler,23,16/10/2014,19:39,"88732, 67168",x,20.1,,,373,0.373,,6.44,x,0.09,,x,GMT rather than BST.,399,19.7
No Name ,Near Bridge Automatic Sampler,24,16/10/2014,20:39,"88732, 67168",x,20.1,,,379,0.379,,6.49,x,0.04,,x,GMT rather than BST.,400,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,1A,18/10/2014,18:06,"88732, 67168",x,,x,x,368,0.368,x,7.36,x,0.07,,x,GMT rather than BST.,390,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,1B,18/10/2014,18:06,"88732, 67168",x,,x,x,364,0.364,x,,x,,,x,GMT rather than BST.,391,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,2A,18/10/2014,19:06,"88732, 67168",x,,x,x,366,0.366,x,7.34,x,0.07,,x,GMT rather than BST.,389,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,2B,18/10/2014,19:06,"88732, 67168",x,,x,x,365,0.365,x,,x,,,x,GMT rather than BST.,389,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,3A ,18/10/2014,20:06,"88732, 67168",x,,x,x,365,0.365,x,7.40,x,0.06,,x,GMT rather than BST.,386,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,3B,18/10/2014,20:06,"88732, 67168",x,,x,x,364,0.364,x,,x,,,x,GMT rather than BST.,385,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,4A,18/10/2014,21:06,"88732, 67168",x,,x,x,369,0.369,x,7.5,x,0.11,,x,GMT rather than BST.,388,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,4B,18/10/2014,21:06,"88732, 67168",x,,x,x,370,0.370,x,,x,,,x,GMT rather than BST.,387,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,5A,18/10/2014,22:06,"88732, 67168",x,,x,x,370,0.370,x,7.48,x,0.12,,x,GMT rather than BST.,390,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,5B,18/10/2014,22:06,"88732, 67168",x,,x,x,367,0.367,x,,x,,,x,GMT rather than BST.,392,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,6A,18/10/2014,23:06,"88732, 67168",x,,x,x,368,0.368,x,7.41,x,0.06,,x,GMT rather than BST.,390,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,6B,18/10/2014,23:06,"88732, 67168",x,,x,x,367,0.367,x,,x,,,x,GMT rather than BST.,392,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,7A,19/10/2014,00:06,"88732, 67168",x,,x,x,376,0.376,x,7.42,x,0.07,,x,GMT rather than BST.,393,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,7B,19/10/2014,00:06,"88732, 67168",x,,x,x,373,0.373,x,,x,,,x,GMT rather than BST.,391,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,8A,19/10/2014,01:06,"88732, 67168",x,,x,x,369,0.369,x,7.65,x,0.07,,x,GMT rather than BST.,388,19.8
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,8B,19/10/2014,01:06,"88732, 67168",x,,x,x,375,0.375,x,,x,,,x,GMT rather than BST.,400,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,9A,19/10/2014,02:06,"88732, 67168",x,,x,x,377,0.377,x,7.74,x,0.05,,x,GMT rather than BST.,392,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,9B,19/10/2014,02:06,"88732, 67168",x,,x,x,374,0.374,x,,x,,,x,GMT rather than BST.,394,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,10A,19/10/2014,03:06,"88732, 67168",x,,x,x,376,0.376,x,7.54,x,0.09,,x,GMT rather than BST.,392,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,10B,19/10/2014,03:06,"88732, 67168",x,,x,x,375,0.375,x,,x,,,x,GMT rather than BST.,398,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,11A,19/10/2014,04:06,"88732, 67168",x,,x,x,377,0.377,x,7.44,x,0.12,,x,GMT rather than BST.,392,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,11B,19/10/2014,04:06,"88732, 67168",x,,x,x,376,0.376,x,,x,,,x,GMT rather than BST.,387,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,12A,19/10/2014,05:06,"88732, 67168",x,,x,x,373,0.373,x,7.6,x,0.09,,x,GMT rather than BST.,401,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,12B,19/10/2014,05:06,"88732, 67168",x,,x,x,370,0.370,x,,x,,,x,GMT rather than BST.,395,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,13A,19/10/2014,06:06,"88732, 67168",x,,x,x,376,0.376,x,7.57,x,0.07,,x,GMT rather than BST.,398,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,13B,19/10/2014,06:06,"88732, 67168",x,,x,x,378,0.378,x,,x,,,x,GMT rather than BST.,400,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,14A,19/10/2014,07:06,"88732, 67168",x,,x,x,376,0.376,x,7.46,x,0.11,,x,GMT rather than BST.,406,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,14B,19/10/2014,07:06,"88732, 67168",x,,x,x,374,0.374,x,7.55,x,,,x,GMT rather than BST.,396,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,15A,19/10/2014,08:06,"88732, 67168",x,,x,x,373,0.373,x,7.41,x,0.06,,x,GMT rather than BST.,397,19.6
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,15B,19/10/2014,08:06,"88732, 67168",x,,x,x,373,0.373,x,7.56,x,,,x,GMT rather than BST.,394,19.6
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,16A,19/10/2014,09:06,"88732, 67168",x,,x,x,380,0.380,x,7.6,x,0.13,,x,GMT rather than BST.,398,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,16B,19/10/2014,09:06,"88732, 67168",x,,x,x,381,0.381,x,,x,,,x,GMT rather than BST.,403,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,17A,19/10/2014,10:06,"88732, 67168",x,,x,x,383,0.383,x,7.61,x,0.04,,x,GMT rather than BST.,392,19.6
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,17B,19/10/2014,10:06,"88732, 67168",x,,x,x,386,0.386,x,,x,,,x,GMT rather than BST.,394,19.6
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,18A,19/10/2014,11:06,"88732, 67168",x,,x,x,373,0.373,x,7.63,x,0.03,,x,GMT rather than BST.,397,19.6
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,18B,19/10/2014,11:06,"88732, 67168",x,,x,x,367,0.367,x,7.43,x,,,x,GMT rather than BST.,401,19.6
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,19A,19/10/2014,12:06,"88732, 67168",x,,x,x,370,0.370,x,7.43,x,0.04,,x,GMT rather than BST.,400,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,19B,19/10/2014,12:06,"88732, 67168",x,,x,x,374,0.374,x,7.52,x,,,x,GMT rather than BST.,404,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,20A,19/10/2014,13:06,"88732, 67168",x,,x,x,376,0.376,x,7.59,x,0.07,,x,GMT rather than BST.,397,19.7
"Andy's Group did pH/cond, No Name did phosphate",Near Bridge Automatic Sampler,20B,19/10/2014,13:06,"88732, 67168",x,,x,x,382,0.382,x,7.58,x,,,x,GMT rather than BST.,403,19.7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
